Candidate_ID,Pred_pChEMBL_Mean,Epistemic_Uncertainty_Std,Confidence_Group
WT_Cand_38,4.596,0.119,High-Confidence (Std <= 0.20)
WT_Cand_39,5.323,0.034,High-Confidence (Std <= 0.20)
WT_Cand_40,7.076,0.285,Low-Confidence (Filtered Out)
WT_Cand_41,7.699,0.102,High-Confidence (Std <= 0.20)
WT_Cand_42,7.047,0.075,High-Confidence (Std <= 0.20)
WT_Cand_43,6.717,0.111,High-Confidence (Std <= 0.20)
WT_Cand_44,6.504,0.107,High-Confidence (Std <= 0.20)
WT_Cand_45,5.15,0.018,High-Confidence (Std <= 0.20)
WT_Cand_46,6.022,0.187,High-Confidence (Std <= 0.20)
WT_Cand_47,6.32,0.184,High-Confidence (Std <= 0.20)
WT_Cand_48,8.066,0.114,High-Confidence (Std <= 0.20)
WT_Cand_49,7.245,0.172,High-Confidence (Std <= 0.20)
WT_Cand_50,4.823,0.247,Low-Confidence (Filtered Out)
WT_Cand_51,7.223,0.182,High-Confidence (Std <= 0.20)
WT_Cand_52,6.407,0.072,High-Confidence (Std <= 0.20)
WT_Cand_53,6.072,0.056,High-Confidence (Std <= 0.20)
WT_Cand_54,7.553,0.579,Low-Confidence (Filtered Out)
WT_Cand_55,8.036,0.186,High-Confidence (Std <= 0.20)
WT_Cand_56,7.921,0.126,High-Confidence (Std <= 0.20)
WT_Cand_57,5.885,0.224,Low-Confidence (Filtered Out)
WT_Cand_58,6.494,0.082,High-Confidence (Std <= 0.20)
WT_Cand_59,7.231,0.287,Low-Confidence (Filtered Out)
WT_Cand_60,7.972,0.104,High-Confidence (Std <= 0.20)
WT_Cand_61,6.299,0.012,High-Confidence (Std <= 0.20)
WT_Cand_62,6.636,0.134,High-Confidence (Std <= 0.20)
WT_Cand_63,5.578,0.048,High-Confidence (Std <= 0.20)
WT_Cand_64,5.474,0.12,High-Confidence (Std <= 0.20)
WT_Cand_65,7.784,0.106,High-Confidence (Std <= 0.20)
WT_Cand_66,8.41,0.202,Low-Confidence (Filtered Out)
WT_Cand_67,6.767,0.446,Low-Confidence (Filtered Out)
WT_Cand_68,8.004,0.265,Low-Confidence (Filtered Out)
WT_Cand_69,7.266,0.185,High-Confidence (Std <= 0.20)
WT_Cand_70,6.108,0.161,High-Confidence (Std <= 0.20)
WT_Cand_71,7.266,0.191,High-Confidence (Std <= 0.20)
WT_Cand_72,8.619,0.405,Low-Confidence (Filtered Out)
WT_Cand_73,6.809,0.221,Low-Confidence (Filtered Out)
WT_Cand_74,8.649,0.013,High-Confidence (Std <= 0.20)
WT_Cand_75,3.837,0.051,High-Confidence (Std <= 0.20)
WT_Cand_76,7.795,0.327,Low-Confidence (Filtered Out)
WT_Cand_77,6.95,0.182,High-Confidence (Std <= 0.20)
WT_Cand_78,6.506,0.399,Low-Confidence (Filtered Out)
WT_Cand_79,6.956,0.252,Low-Confidence (Filtered Out)
WT_Cand_80,4.564,0.157,High-Confidence (Std <= 0.20)
WT_Cand_81,6.597,0.154,High-Confidence (Std <= 0.20)
WT_Cand_82,7.261,0.081,High-Confidence (Std <= 0.20)
WT_Cand_83,8.55,0.117,High-Confidence (Std <= 0.20)
WT_Cand_84,6.254,0.037,High-Confidence (Std <= 0.20)
WT_Cand_85,5.92,0.063,High-Confidence (Std <= 0.20)
WT_Cand_86,6.273,0.048,High-Confidence (Std <= 0.20)
WT_Cand_87,7.903,0.139,High-Confidence (Std <= 0.20)
WT_Cand_88,7.228,0.09,High-Confidence (Std <= 0.20)
WT_Cand_89,6.241,0.021,High-Confidence (Std <= 0.20)
WT_Cand_90,7.44,0.224,Low-Confidence (Filtered Out)
WT_Cand_91,6.962,0.099,High-Confidence (Std <= 0.20)
WT_Cand_92,7.964,0.279,Low-Confidence (Filtered Out)
WT_Cand_93,6.043,0.213,Low-Confidence (Filtered Out)
WT_Cand_94,6.473,0.14,High-Confidence (Std <= 0.20)
WT_Cand_95,6.399,0.082,High-Confidence (Std <= 0.20)
WT_Cand_96,5.167,0.062,High-Confidence (Std <= 0.20)
WT_Cand_97,7.191,0.243,Low-Confidence (Filtered Out)
WT_Cand_98,7.15,0.262,Low-Confidence (Filtered Out)
WT_Cand_99,6.856,0.143,High-Confidence (Std <= 0.20)
WT_Cand_100,6.58,0.178,High-Confidence (Std <= 0.20)
WT_Cand_101,5.222,0.334,Low-Confidence (Filtered Out)
WT_Cand_102,6.366,0.252,Low-Confidence (Filtered Out)
WT_Cand_103,6.456,0.186,High-Confidence (Std <= 0.20)
WT_Cand_104,5.927,0.039,High-Confidence (Std <= 0.20)
WT_Cand_105,6.665,0.065,High-Confidence (Std <= 0.20)
WT_Cand_106,7.315,0.102,High-Confidence (Std <= 0.20)
WT_Cand_107,9.019,0.108,High-Confidence (Std <= 0.20)
WT_Cand_108,7.051,0.071,High-Confidence (Std <= 0.20)
WT_Cand_109,7.146,0.063,High-Confidence (Std <= 0.20)
WT_Cand_110,6.764,0.112,High-Confidence (Std <= 0.20)
WT_Cand_111,4.643,0.163,High-Confidence (Std <= 0.20)
WT_Cand_112,6.82,0.217,Low-Confidence (Filtered Out)
WT_Cand_113,6.919,0.018,High-Confidence (Std <= 0.20)
WT_Cand_114,9.683,0.091,High-Confidence (Std <= 0.20)
WT_Cand_115,6.629,0.022,High-Confidence (Std <= 0.20)
WT_Cand_116,7.197,0.141,High-Confidence (Std <= 0.20)
WT_Cand_117,6.81,0.139,High-Confidence (Std <= 0.20)
WT_Cand_118,5.506,0.129,High-Confidence (Std <= 0.20)
WT_Cand_119,8.164,0.112,High-Confidence (Std <= 0.20)
WT_Cand_120,7.715,0.093,High-Confidence (Std <= 0.20)
WT_Cand_121,7.76,0.129,High-Confidence (Std <= 0.20)
WT_Cand_122,5.804,0.221,Low-Confidence (Filtered Out)
WT_Cand_123,8.463,0.099,High-Confidence (Std <= 0.20)
WT_Cand_124,5.238,0.042,High-Confidence (Std <= 0.20)
WT_Cand_125,7.525,0.178,High-Confidence (Std <= 0.20)
WT_Cand_126,9.369,0.263,Low-Confidence (Filtered Out)
WT_Cand_127,5.711,0.04,High-Confidence (Std <= 0.20)
WT_Cand_128,6.199,0.033,High-Confidence (Std <= 0.20)
WT_Cand_129,6.965,0.038,High-Confidence (Std <= 0.20)
WT_Cand_130,6.271,0.128,High-Confidence (Std <= 0.20)
WT_Cand_131,5.067,0.47,Low-Confidence (Filtered Out)
WT_Cand_132,6.929,0.416,Low-Confidence (Filtered Out)
WT_Cand_133,5.628,0.178,High-Confidence (Std <= 0.20)
WT_Cand_134,7.395,0.037,High-Confidence (Std <= 0.20)
WT_Cand_135,5.793,0.413,Low-Confidence (Filtered Out)
WT_Cand_136,8.632,0.429,Low-Confidence (Filtered Out)
WT_Cand_137,5.949,0.06,High-Confidence (Std <= 0.20)
WT_Cand_138,6.48,0.143,High-Confidence (Std <= 0.20)
WT_Cand_139,7.786,0.262,Low-Confidence (Filtered Out)
WT_Cand_140,5.435,0.373,Low-Confidence (Filtered Out)
WT_Cand_141,7.112,0.125,High-Confidence (Std <= 0.20)
WT_Cand_142,8.353,0.283,Low-Confidence (Filtered Out)
WT_Cand_143,5.001,0.193,High-Confidence (Std <= 0.20)
WT_Cand_144,7.062,0.184,High-Confidence (Std <= 0.20)
WT_Cand_145,7.149,0.17,High-Confidence (Std <= 0.20)
WT_Cand_146,7.749,0.487,Low-Confidence (Filtered Out)
WT_Cand_147,5.428,0.15,High-Confidence (Std <= 0.20)
WT_Cand_148,5.331,0.213,Low-Confidence (Filtered Out)
WT_Cand_149,7.45,0.489,Low-Confidence (Filtered Out)
WT_Cand_150,7.192,0.226,Low-Confidence (Filtered Out)
WT_Cand_151,7.138,0.086,High-Confidence (Std <= 0.20)
WT_Cand_152,7.248,0.136,High-Confidence (Std <= 0.20)
WT_Cand_153,6.068,0.066,High-Confidence (Std <= 0.20)
WT_Cand_154,7.117,0.134,High-Confidence (Std <= 0.20)
WT_Cand_155,7.187,0.125,High-Confidence (Std <= 0.20)
WT_Cand_156,6.028,0.101,High-Confidence (Std <= 0.20)
WT_Cand_157,8.996,0.17,High-Confidence (Std <= 0.20)
WT_Cand_158,7.395,0.024,High-Confidence (Std <= 0.20)
WT_Cand_159,5.48,0.568,Low-Confidence (Filtered Out)
WT_Cand_160,7.605,0.127,High-Confidence (Std <= 0.20)
WT_Cand_161,5.729,0.143,High-Confidence (Std <= 0.20)
WT_Cand_162,7.755,0.408,Low-Confidence (Filtered Out)
WT_Cand_163,8.182,0.223,Low-Confidence (Filtered Out)
WT_Cand_164,5.906,0.098,High-Confidence (Std <= 0.20)
WT_Cand_165,7.958,0.112,High-Confidence (Std <= 0.20)
WT_Cand_166,7.325,0.325,Low-Confidence (Filtered Out)
WT_Cand_167,7.795,0.36,Low-Confidence (Filtered Out)
WT_Cand_168,9.031,0.089,High-Confidence (Std <= 0.20)
WT_Cand_169,6.568,0.4,Low-Confidence (Filtered Out)
WT_Cand_170,5.983,0.027,High-Confidence (Std <= 0.20)
WT_Cand_171,5.827,0.441,Low-Confidence (Filtered Out)
WT_Cand_172,5.912,0.196,High-Confidence (Std <= 0.20)
WT_Cand_173,6.761,0.397,Low-Confidence (Filtered Out)
WT_Cand_174,7.242,0.243,Low-Confidence (Filtered Out)
WT_Cand_175,7.168,0.094,High-Confidence (Std <= 0.20)
WT_Cand_176,7.801,0.133,High-Confidence (Std <= 0.20)
WT_Cand_177,6.865,0.098,High-Confidence (Std <= 0.20)
WT_Cand_178,8.522,0.073,High-Confidence (Std <= 0.20)
WT_Cand_179,6.546,0.216,Low-Confidence (Filtered Out)
WT_Cand_180,9.978,0.017,High-Confidence (Std <= 0.20)
WT_Cand_181,7.57,0.126,High-Confidence (Std <= 0.20)
WT_Cand_182,5.864,0.158,High-Confidence (Std <= 0.20)
WT_Cand_183,5.618,0.019,High-Confidence (Std <= 0.20)
WT_Cand_184,7.405,0.191,High-Confidence (Std <= 0.20)
WT_Cand_185,6.593,0.242,Low-Confidence (Filtered Out)
WT_Cand_186,7.671,0.214,Low-Confidence (Filtered Out)
WT_Cand_187,7.394,0.212,Low-Confidence (Filtered Out)
WT_Cand_188,6.766,0.161,High-Confidence (Std <= 0.20)
WT_Cand_189,5.876,0.053,High-Confidence (Std <= 0.20)
WT_Cand_190,5.108,0.123,High-Confidence (Std <= 0.20)
WT_Cand_191,6.337,0.094,High-Confidence (Std <= 0.20)
WT_Cand_192,7.835,0.157,High-Confidence (Std <= 0.20)
WT_Cand_193,7.096,0.069,High-Confidence (Std <= 0.20)
WT_Cand_194,5.417,0.338,Low-Confidence (Filtered Out)
WT_Cand_195,7.049,0.026,High-Confidence (Std <= 0.20)
WT_Cand_196,7.293,0.082,High-Confidence (Std <= 0.20)
WT_Cand_197,5.834,0.117,High-Confidence (Std <= 0.20)
WT_Cand_198,7.027,0.216,Low-Confidence (Filtered Out)
WT_Cand_199,6.917,0.217,Low-Confidence (Filtered Out)
WT_Cand_200,5.536,0.3,Low-Confidence (Filtered Out)
WT_Cand_201,7.261,0.268,Low-Confidence (Filtered Out)
WT_Cand_202,7.495,0.124,High-Confidence (Std <= 0.20)
WT_Cand_203,8.096,0.285,Low-Confidence (Filtered Out)
WT_Cand_204,8.062,0.126,High-Confidence (Std <= 0.20)
WT_Cand_205,5.266,0.024,High-Confidence (Std <= 0.20)
WT_Cand_206,5.772,0.027,High-Confidence (Std <= 0.20)
WT_Cand_207,7.442,0.114,High-Confidence (Std <= 0.20)
WT_Cand_208,7.441,0.049,High-Confidence (Std <= 0.20)
WT_Cand_209,7.442,0.133,High-Confidence (Std <= 0.20)
WT_Cand_210,11.281,0.274,Low-Confidence (Filtered Out)
WT_Cand_211,7.507,0.104,High-Confidence (Std <= 0.20)
WT_Cand_212,8.156,0.013,High-Confidence (Std <= 0.20)
WT_Cand_213,7.947,0.228,Low-Confidence (Filtered Out)
WT_Cand_214,7.599,0.094,High-Confidence (Std <= 0.20)
WT_Cand_215,6.487,0.117,High-Confidence (Std <= 0.20)
WT_Cand_216,7.723,0.69,Low-Confidence (Filtered Out)
WT_Cand_217,5.961,0.301,Low-Confidence (Filtered Out)
WT_Cand_218,6.578,0.359,Low-Confidence (Filtered Out)
WT_Cand_219,6.292,0.107,High-Confidence (Std <= 0.20)
WT_Cand_220,6.944,0.583,Low-Confidence (Filtered Out)
WT_Cand_221,9.512,0.06,High-Confidence (Std <= 0.20)
WT_Cand_222,4.703,0.024,High-Confidence (Std <= 0.20)
WT_Cand_223,7.639,0.66,Low-Confidence (Filtered Out)
WT_Cand_224,4.995,0.014,High-Confidence (Std <= 0.20)
WT_Cand_225,6.307,0.094,High-Confidence (Std <= 0.20)
WT_Cand_226,8.102,0.231,Low-Confidence (Filtered Out)
WT_Cand_227,6.924,0.108,High-Confidence (Std <= 0.20)
WT_Cand_228,5.611,0.077,High-Confidence (Std <= 0.20)
WT_Cand_229,6.027,0.15,High-Confidence (Std <= 0.20)
WT_Cand_230,7.632,0.142,High-Confidence (Std <= 0.20)
WT_Cand_231,6.01,0.166,High-Confidence (Std <= 0.20)
WT_Cand_232,7.099,0.385,Low-Confidence (Filtered Out)
WT_Cand_233,6.902,0.242,Low-Confidence (Filtered Out)
WT_Cand_234,6.101,0.121,High-Confidence (Std <= 0.20)
WT_Cand_235,9.316,0.186,High-Confidence (Std <= 0.20)
WT_Cand_236,7.579,0.129,High-Confidence (Std <= 0.20)
WT_Cand_237,4.521,0.198,High-Confidence (Std <= 0.20)
WT_Cand_238,7.064,0.069,High-Confidence (Std <= 0.20)
WT_Cand_239,6.089,0.097,High-Confidence (Std <= 0.20)
WT_Cand_240,7.83,0.302,Low-Confidence (Filtered Out)
WT_Cand_241,5.939,0.048,High-Confidence (Std <= 0.20)
WT_Cand_242,6.718,0.308,Low-Confidence (Filtered Out)
WT_Cand_243,7.431,0.491,Low-Confidence (Filtered Out)
WT_Cand_244,7.846,0.1,High-Confidence (Std <= 0.20)
WT_Cand_245,5.47,0.049,High-Confidence (Std <= 0.20)
WT_Cand_246,6.465,0.073,High-Confidence (Std <= 0.20)
WT_Cand_247,6.304,0.465,Low-Confidence (Filtered Out)
WT_Cand_248,6.099,0.045,High-Confidence (Std <= 0.20)
WT_Cand_249,8.88,0.049,High-Confidence (Std <= 0.20)
WT_Cand_250,7.316,0.013,High-Confidence (Std <= 0.20)
WT_Cand_251,5.4,0.095,High-Confidence (Std <= 0.20)
WT_Cand_252,7.906,0.171,High-Confidence (Std <= 0.20)
WT_Cand_253,9.29,0.419,Low-Confidence (Filtered Out)
WT_Cand_254,8.037,0.104,High-Confidence (Std <= 0.20)
WT_Cand_255,5.103,0.225,Low-Confidence (Filtered Out)
WT_Cand_256,6.293,0.075,High-Confidence (Std <= 0.20)
WT_Cand_257,8.307,0.039,High-Confidence (Std <= 0.20)
WT_Cand_258,6.036,0.376,Low-Confidence (Filtered Out)
WT_Cand_259,7.36,0.167,High-Confidence (Std <= 0.20)
WT_Cand_260,7.741,0.241,Low-Confidence (Filtered Out)
WT_Cand_261,5.784,0.162,High-Confidence (Std <= 0.20)
WT_Cand_262,6.782,0.023,High-Confidence (Std <= 0.20)
WT_Cand_263,3.123,0.3,Low-Confidence (Filtered Out)
WT_Cand_264,5.672,0.07,High-Confidence (Std <= 0.20)
WT_Cand_265,6.56,0.215,Low-Confidence (Filtered Out)
WT_Cand_266,5.415,0.042,High-Confidence (Std <= 0.20)
WT_Cand_267,8.727,0.045,High-Confidence (Std <= 0.20)
WT_Cand_268,5.205,0.076,High-Confidence (Std <= 0.20)
WT_Cand_269,6.344,0.057,High-Confidence (Std <= 0.20)
WT_Cand_270,7.0,0.037,High-Confidence (Std <= 0.20)
WT_Cand_271,8.507,0.647,Low-Confidence (Filtered Out)
WT_Cand_272,5.199,0.145,High-Confidence (Std <= 0.20)
WT_Cand_273,8.188,0.019,High-Confidence (Std <= 0.20)
WT_Cand_274,6.862,0.039,High-Confidence (Std <= 0.20)
WT_Cand_275,5.721,0.061,High-Confidence (Std <= 0.20)
WT_Cand_276,7.381,0.088,High-Confidence (Std <= 0.20)
WT_Cand_277,7.079,0.255,Low-Confidence (Filtered Out)
WT_Cand_278,6.16,0.171,High-Confidence (Std <= 0.20)
WT_Cand_279,6.93,0.141,High-Confidence (Std <= 0.20)
WT_Cand_280,6.407,0.026,High-Confidence (Std <= 0.20)
WT_Cand_281,6.981,0.221,Low-Confidence (Filtered Out)
WT_Cand_282,7.611,0.023,High-Confidence (Std <= 0.20)
WT_Cand_283,8.674,0.117,High-Confidence (Std <= 0.20)
WT_Cand_284,5.427,0.181,High-Confidence (Std <= 0.20)
WT_Cand_285,9.303,0.187,High-Confidence (Std <= 0.20)
WT_Cand_286,4.605,0.161,High-Confidence (Std <= 0.20)
WT_Cand_287,6.675,0.167,High-Confidence (Std <= 0.20)
WT_Cand_288,7.527,0.155,High-Confidence (Std <= 0.20)
WT_Cand_289,7.173,0.031,High-Confidence (Std <= 0.20)
WT_Cand_290,6.134,0.029,High-Confidence (Std <= 0.20)
WT_Cand_291,6.611,0.277,Low-Confidence (Filtered Out)
WT_Cand_292,6.283,0.28,Low-Confidence (Filtered Out)
WT_Cand_293,6.172,0.045,High-Confidence (Std <= 0.20)
WT_Cand_294,7.827,0.163,High-Confidence (Std <= 0.20)
WT_Cand_295,7.261,0.193,High-Confidence (Std <= 0.20)
WT_Cand_296,6.053,0.142,High-Confidence (Std <= 0.20)
WT_Cand_297,7.885,0.31,Low-Confidence (Filtered Out)
WT_Cand_298,7.203,0.091,High-Confidence (Std <= 0.20)
WT_Cand_299,7.785,0.1,High-Confidence (Std <= 0.20)
WT_Cand_300,7.574,0.312,Low-Confidence (Filtered Out)
WT_Cand_301,5.897,0.033,High-Confidence (Std <= 0.20)
WT_Cand_302,6.206,0.268,Low-Confidence (Filtered Out)
WT_Cand_303,7.709,0.433,Low-Confidence (Filtered Out)
WT_Cand_304,7.552,0.217,Low-Confidence (Filtered Out)
WT_Cand_305,6.826,0.132,High-Confidence (Std <= 0.20)
WT_Cand_306,6.985,0.034,High-Confidence (Std <= 0.20)
WT_Cand_307,8.319,0.163,High-Confidence (Std <= 0.20)
WT_Cand_308,6.17,0.067,High-Confidence (Std <= 0.20)
WT_Cand_309,7.479,0.107,High-Confidence (Std <= 0.20)
WT_Cand_310,6.617,0.191,High-Confidence (Std <= 0.20)
WT_Cand_311,6.6,0.057,High-Confidence (Std <= 0.20)
WT_Cand_312,8.114,0.041,High-Confidence (Std <= 0.20)
WT_Cand_313,7.799,0.083,High-Confidence (Std <= 0.20)
WT_Cand_314,7.786,0.397,Low-Confidence (Filtered Out)
WT_Cand_315,8.351,0.194,High-Confidence (Std <= 0.20)
WT_Cand_316,6.874,0.066,High-Confidence (Std <= 0.20)
WT_Cand_317,7.634,0.074,High-Confidence (Std <= 0.20)
WT_Cand_318,6.493,0.344,Low-Confidence (Filtered Out)
WT_Cand_319,7.223,0.029,High-Confidence (Std <= 0.20)
WT_Cand_320,6.7,0.391,Low-Confidence (Filtered Out)
WT_Cand_321,6.962,0.055,High-Confidence (Std <= 0.20)
WT_Cand_322,7.534,0.379,Low-Confidence (Filtered Out)
WT_Cand_323,5.909,0.276,Low-Confidence (Filtered Out)
WT_Cand_324,9.256,0.048,High-Confidence (Std <= 0.20)
WT_Cand_325,5.693,0.243,Low-Confidence (Filtered Out)
WT_Cand_326,5.454,0.021,High-Confidence (Std <= 0.20)
WT_Cand_327,8.182,0.319,Low-Confidence (Filtered Out)
WT_Cand_328,7.76,0.047,High-Confidence (Std <= 0.20)
WT_Cand_329,7.568,0.32,Low-Confidence (Filtered Out)
WT_Cand_330,7.573,0.031,High-Confidence (Std <= 0.20)
WT_Cand_331,6.836,0.05,High-Confidence (Std <= 0.20)
WT_Cand_332,5.818,0.466,Low-Confidence (Filtered Out)
WT_Cand_333,6.937,0.212,Low-Confidence (Filtered Out)
WT_Cand_334,6.071,0.056,High-Confidence (Std <= 0.20)
WT_Cand_335,7.971,0.177,High-Confidence (Std <= 0.20)
WT_Cand_336,6.681,0.174,High-Confidence (Std <= 0.20)
WT_Cand_337,5.901,0.112,High-Confidence (Std <= 0.20)
WT_Cand_338,6.48,0.172,High-Confidence (Std <= 0.20)
WT_Cand_339,7.325,0.347,Low-Confidence (Filtered Out)
WT_Cand_340,6.202,0.27,Low-Confidence (Filtered Out)
WT_Cand_341,5.904,0.22,Low-Confidence (Filtered Out)
WT_Cand_342,7.13,0.054,High-Confidence (Std <= 0.20)
WT_Cand_343,7.132,0.031,High-Confidence (Std <= 0.20)
WT_Cand_344,6.267,0.131,High-Confidence (Std <= 0.20)
WT_Cand_345,6.308,0.274,Low-Confidence (Filtered Out)
WT_Cand_346,7.117,0.01,High-Confidence (Std <= 0.20)
WT_Cand_347,5.185,0.088,High-Confidence (Std <= 0.20)
WT_Cand_348,5.231,0.208,Low-Confidence (Filtered Out)
WT_Cand_349,6.024,0.385,Low-Confidence (Filtered Out)
WT_Cand_350,6.605,0.13,High-Confidence (Std <= 0.20)
WT_Cand_351,7.208,0.082,High-Confidence (Std <= 0.20)
WT_Cand_352,8.547,0.142,High-Confidence (Std <= 0.20)
WT_Cand_353,7.836,0.22,Low-Confidence (Filtered Out)
WT_Cand_354,6.666,0.018,High-Confidence (Std <= 0.20)
WT_Cand_355,6.828,0.051,High-Confidence (Std <= 0.20)
WT_Cand_356,5.697,0.059,High-Confidence (Std <= 0.20)
WT_Cand_357,6.829,0.099,High-Confidence (Std <= 0.20)
WT_Cand_358,6.518,0.331,Low-Confidence (Filtered Out)
WT_Cand_359,7.221,0.046,High-Confidence (Std <= 0.20)
WT_Cand_360,5.899,0.071,High-Confidence (Std <= 0.20)
WT_Cand_361,7.447,0.03,High-Confidence (Std <= 0.20)
WT_Cand_362,8.613,0.1,High-Confidence (Std <= 0.20)
WT_Cand_363,6.725,0.11,High-Confidence (Std <= 0.20)
WT_Cand_364,7.312,0.118,High-Confidence (Std <= 0.20)
WT_Cand_365,7.644,0.717,Low-Confidence (Filtered Out)
WT_Cand_366,6.389,0.272,Low-Confidence (Filtered Out)
WT_Cand_367,7.108,0.135,High-Confidence (Std <= 0.20)
WT_Cand_368,6.864,0.217,Low-Confidence (Filtered Out)
WT_Cand_369,6.962,0.078,High-Confidence (Std <= 0.20)
WT_Cand_370,5.961,0.616,Low-Confidence (Filtered Out)
WT_Cand_371,6.878,0.283,Low-Confidence (Filtered Out)
WT_Cand_372,7.423,0.252,Low-Confidence (Filtered Out)
WT_Cand_373,8.519,0.395,Low-Confidence (Filtered Out)
WT_Cand_374,7.953,0.508,Low-Confidence (Filtered Out)
WT_Cand_375,9.326,0.048,High-Confidence (Std <= 0.20)
WT_Cand_376,5.968,0.359,Low-Confidence (Filtered Out)
WT_Cand_377,7.853,0.204,Low-Confidence (Filtered Out)
WT_Cand_378,7.061,0.18,High-Confidence (Std <= 0.20)
WT_Cand_379,9.368,0.461,Low-Confidence (Filtered Out)
WT_Cand_380,5.92,0.053,High-Confidence (Std <= 0.20)
WT_Cand_381,5.884,0.137,High-Confidence (Std <= 0.20)
WT_Cand_382,6.161,0.121,High-Confidence (Std <= 0.20)
WT_Cand_383,4.408,0.201,Low-Confidence (Filtered Out)
WT_Cand_384,6.245,0.209,Low-Confidence (Filtered Out)
WT_Cand_385,5.977,0.348,Low-Confidence (Filtered Out)
WT_Cand_386,7.023,0.149,High-Confidence (Std <= 0.20)
WT_Cand_387,7.243,0.49,Low-Confidence (Filtered Out)
WT_Cand_388,9.008,0.221,Low-Confidence (Filtered Out)
WT_Cand_389,7.943,0.047,High-Confidence (Std <= 0.20)
WT_Cand_390,6.187,0.08,High-Confidence (Std <= 0.20)
WT_Cand_391,5.817,0.251,Low-Confidence (Filtered Out)
WT_Cand_392,7.416,0.209,Low-Confidence (Filtered Out)
WT_Cand_393,5.332,0.199,High-Confidence (Std <= 0.20)
WT_Cand_394,8.956,0.544,Low-Confidence (Filtered Out)
WT_Cand_395,8.206,0.32,Low-Confidence (Filtered Out)
WT_Cand_396,6.31,0.097,High-Confidence (Std <= 0.20)
WT_Cand_397,4.88,0.124,High-Confidence (Std <= 0.20)
WT_Cand_398,8.407,0.092,High-Confidence (Std <= 0.20)
WT_Cand_399,6.718,0.06,High-Confidence (Std <= 0.20)
WT_Cand_400,8.273,0.573,Low-Confidence (Filtered Out)
WT_Cand_401,5.016,0.207,Low-Confidence (Filtered Out)
WT_Cand_402,6.161,0.038,High-Confidence (Std <= 0.20)
WT_Cand_403,6.856,0.455,Low-Confidence (Filtered Out)
WT_Cand_404,6.904,0.069,High-Confidence (Std <= 0.20)
WT_Cand_405,6.332,0.177,High-Confidence (Std <= 0.20)
WT_Cand_406,7.566,0.155,High-Confidence (Std <= 0.20)
WT_Cand_407,5.622,0.025,High-Confidence (Std <= 0.20)
WT_Cand_408,6.686,0.011,High-Confidence (Std <= 0.20)
WT_Cand_409,6.988,0.275,Low-Confidence (Filtered Out)
WT_Cand_410,7.442,0.378,Low-Confidence (Filtered Out)
WT_Cand_411,7.668,0.187,High-Confidence (Std <= 0.20)
WT_Cand_412,5.557,0.854,Low-Confidence (Filtered Out)
WT_Cand_413,5.086,0.075,High-Confidence (Std <= 0.20)
